product_type,has_charging,n,mean_co2_kg,mean_co2_per_1000kcal,mean_trip_h,mean_energy_kwh,mean_distance
refrigerated,FALSE,23040,131.89,0.003241,2.47,304.6,119.9
refrigerated,TRUE,7120,1924.43,0.047273,90.05,4452,1743
dry,FALSE,4138,132.23,0.002154,2.74,304.8,132.8
dry,TRUE,5438,1735.17,0.028294,85.89,4023.2,1743
