powertrain,product_type,origin_network,n_runs,n_unique_pairs,mean_co2_kg_total,sd_co2_kg_total,p05_co2_kg,p50_co2_kg,p95_co2_kg,mean_co2_kg_propulsion,mean_co2_kg_tru,mean_co2_per_1000kcal,sd_co2_per_1000kcal,p05_co2_per_1000kcal,p50_co2_per_1000kcal,p95_co2_per_1000kcal,mean_protein_per_1000kcal,mean_co2_per_kg_protein,mean_co2_g_per_g_protein,mean_driving_time_h,mean_driver_driving_min,mean_driver_on_duty_min,mean_driver_off_duty_min,mean_trip_duration_total_h,mean_traffic_delay_h,mean_congestion_delay_h,mean_time_traffic_delay_min,mean_energy_kwh_propulsion,mean_energy_kwh_tru,mean_energy_kwh_total,mean_diesel_gal_propulsion,mean_diesel_gal_tru,mean_charge_stops,pct_with_charge_stops,mean_time_charging_min,mean_charging_or_refueling_h,mean_refuel_stops,mean_time_refuel_min,mean_distance_miles,mean_duration_minutes,mean_payload_lb,mean_load_fraction,mean_kcal_delivered
bev,refrigerated,dry_factory_set,15080,15080,546.7,782.37,85.44,143.1,2291.17,494.49,52.21,0.01343,0.019424,0.002028,0.003519,0.056415,,,,10.1,611,1626.7,724.5,25.74,0.08,0.39,4.8,1143.4,120.9,1264.3,0,0,4.03,23.6,856.2,15.56,0,0,495.5,2269.9,41998,1,41192120
bev,dry,dry_factory_set,4788,4788,1025.04,842.85,95.42,1201.88,2321.06,1025.04,0,0.016713,0.013839,0.001539,0.019317,0.038075,,,,21.02,1272,3418.7,1561.3,55.14,0.18,0.49,10.7,2375.9,0,2375.9,0,0,8.82,56.8,1870.9,33.94,0,0,1029.7,4878.7,41995,1,61616421
bev,refrigerated,refrigerated_factory_set,15080,15080,563.42,812,86.17,144.23,2372.69,509.6,53.82,0.013841,0.020159,0.002042,0.003542,0.058415,,,,10.41,629.4,1315.6,709.2,20.55,0.08,0.39,4.7,1178.4,124.6,1303,0,0,4.03,23.6,525.8,10.06,0,0,510.7,1943.3,41998,1,41192120
bev,dry,refrigerated_factory_set,4788,4788,1059.98,875.09,95.4,1245.04,2404.41,1059.98,0,0.017283,0.014367,0.001544,0.020011,0.039443,,,,21.74,1315.7,2798.1,1653.1,44.78,0.19,0.5,11.5,2456.9,0,2456.9,0,0,8.64,56.8,1207.9,22.85,0,0,1064.7,4349.8,41995,1,61616421
diesel,refrigerated,dry_factory_set,11737,11737,1060.88,396.19,894.81,1014.14,1156.46,943.96,116.92,0.026069,0.010175,0.019837,0.024815,0.031134,,,,12.85,777.6,876.9,616.1,12.97,0.11,0.42,6.7,0,0,0,90.62,11.47,0,0,0,0.01,0.01,0.8,631.8,1424.8,41998,1,41175837
diesel,dry,dry_factory_set,3482,3482,1614.39,1273.96,791.1,928.83,3992.55,1614.39,0,0.026303,0.020897,0.012595,0.01519,0.066826,,,,17.91,1084.3,1222.5,870.2,18.28,0.16,0.47,9.7,0,0,0,125.94,0,0,0,0,0.21,0.24,12.8,878.4,2011.3,41999,1,61640048
diesel,refrigerated,refrigerated_factory_set,11737,11737,1066.83,438.5,895.25,1015.7,1155.66,949.6,117.23,0.026216,0.011204,0.019896,0.024846,0.031222,,,,12.88,779.3,878.8,616.6,13,0.11,0.41,6.3,0,0,0,90.86,11.5,0,0,0,0.02,0.02,0.9,633.5,1426.3,41998,1,41175837
diesel,dry,refrigerated_factory_set,3482,3482,1636.55,1311.93,792.7,931.2,4086.73,1636.55,0,0.026665,0.021517,0.012589,0.0152,0.068397,,,,18.22,1102.8,1241.1,885.4,18.59,0.16,0.47,9.7,0,0,0,128.11,0,0,0,0,0.21,0.24,12.7,893.5,2044.3,41999,1,61640048
