scenario_name,powertrain,n,mean,median,p05,p50,p95
dry_bev,bev,20,0.0324561620190493,0.0320672801927277,0.0181025619504265,0.0320672801927277,0.0481757032137654
dry_diesel,diesel,20,0.0742900286518439,0.0736959912980346,0.069105398153086,0.0736959912980346,0.0831437090103516
refrigerated_bev,bev,20,0.288330093289862,0.284909346354053,0.140584115289419,0.284909346354053,0.437944677677827
refrigerated_diesel,diesel,20,0.668363672630528,0.663923168808223,0.325367663045346,0.663923168808223,1.07553160881691
