scenario,powertrain,product_type,p05,p50,p95
DISTRIBUTION_DAVIS,bev,,130.218646075483,228.789906485155,393.415558034295
DISTRIBUTION_DAVIS,diesel,,344.679515701476,436.664523240465,1816.58558576321
