replicate_id,shared_seed,dry_bev,dry_diesel,refrigerated_bev,refrigerated_diesel,delta_diesel_co2_per_1000kcal,delta_bev_co2_per_1000kcal
1,4600,0.0348432726230143,0.0698641256502055,0.292389102124527,0.568272294502744,0.498408168852539,0.257545829501513
2,4601,0.0271638128485351,0.0702350211880467,0.247117942144694,0.606714564918572,0.536479543730525,0.219954129296158
3,4602,0.0391074907208483,0.0830319675464076,0.433536559151403,0.908366776598615,0.825334809052208,0.394429068430554
4,4603,0.0313766482390497,0.0721092954658209,0.170841052031543,0.470149141835279,0.398039846369458,0.139464403792493
5,4604,0.0283403395165193,0.0733090308828136,0.425686168109653,1.06578641955276,0.992477388669951,0.397345828593134
6,4605,0.0173703268404209,0.0713832649832431,0.168935093450058,0.672488644725545,0.601105379742302,0.151564766609637
7,4606,0.0569969760789136,0.0760858785873998,0.521698929679895,0.676509431099775,0.600423552512375,0.464701953600981
8,4607,0.0324110865488367,0.070555336914276,0.314156971517025,0.665937761091968,0.595382424177692,0.281745884968188
9,4608,0.0477114256945471,0.0780577236524681,0.305927108534408,0.488226518343653,0.410168794691185,0.258215682839861
10,4609,0.0217691525807897,0.0745163579911424,0.168211798339009,0.569211229281304,0.494694871290162,0.146442645758219
11,4610,0.0267741968931133,0.0745982980178244,0.276200806871773,0.765658815788648,0.691060517770824,0.24942660997866
12,4611,0.0337110472547387,0.0852667968252872,0.395058930894404,1.26069020483559,1.17542340801031,0.361347883639665
13,4612,0.0232318833486327,0.0692099094729584,0.271976792663998,0.78328026229371,0.714070352820752,0.248744909315366
14,4613,0.0317234738366187,0.0671196830755092,0.27742959058358,0.556922966082912,0.489803283007402,0.245706116746961
15,4614,0.0276581874804752,0.0740829517132556,0.275025504816873,0.738717484043546,0.664634532330291,0.247367317336398
16,4615,0.0340180618219034,0.0732691534029414,0.332356510285226,0.661908576524478,0.588639423121536,0.298338448463322
17,4616,0.0399489357211073,0.0759500346675397,0.321916731863747,0.598545659551112,0.522595624883572,0.28196779614264
18,4617,0.0393072456456339,0.0791307743142685,0.143092493140792,0.288434305223589,0.20930353090932,0.103785247495159
19,4618,0.0375185760468609,0.078763875003233,0.332118843481313,0.694140872333425,0.615376997330192,0.294600267434452
20,4619,0.0181411006404268,0.0692610936822359,0.0929249361133223,0.327311523983333,0.258050430301098,0.0747838354728955
