run_id,pair_id,scenario_id,scenario,powertrain,origin_network,traffic_mode,facility_id,retail_id,trip_leg,units_per_case_policy,case_geometry_policy,load_assignment_policy,artifact_mode,payload_lb,ambient_f,traffic_multiplier,queue_delay_minutes,grid_kg_per_kwh,mpg,payload_max_lb_draw,units_per_case_draw_dry,units_per_case_draw_refrigerated,cases_per_pallet_draw_dry,cases_per_pallet_draw_refrigerated,pallet_tare_lb_draw,packing_efficiency_draw_refrigerated,pack_pattern_index_refrigerated,units_per_truck_capacity,cases_per_truck_capacity,assigned_units,assigned_cases,actual_units_loaded,load_fraction,unused_capacity_units,load_unload_min,refuel_stop_min,connector_overhead_min,bundle_dir,route_completed,status,co2_kg_total,source_runs_csv,diesel_gal_total,energy_kwh_total
DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4600,DISTRIBUTION_DAVIS_diesel_seed_4600,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,diesel,dry_factory_set,stochastic,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,35192.3376245484,78.4583482278908,0.986957697559528,10.5810453691704,0.414656642656289,7.41341331205615,42668.6855262389,2,6,23,11,41.3344229913317,0.91786045610576,3,1196,598,1196,598,1196,1,0,76.8866762115284,13.2110904526435,5.9363130468878,,TRUE,OK,3733.74786370398,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4600,DISTRIBUTION_DAVIS_diesel_seed_4600,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,diesel,refrigerated_factory_set,stochastic,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,35192.3376245484,78.4583482278908,0.986957697559528,10.5810453691704,0.414656642656289,7.41341331205615,42668.6855262389,2,6,23,11,41.3344229913317,0.91786045610576,3,1716,286,1716,286,1716,1,0,76.8866762115284,13.2110904526435,5.9363130468878,,TRUE,OK,4197.78962635093,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4601,DISTRIBUTION_DAVIS_diesel_seed_4601,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,diesel,dry_factory_set,stochastic,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,17875.8772120141,77.3254223238213,0.941985960150906,25.5619590961893,0.406284840481667,7.09562260618548,42180.7273121148,2,6,23,11,47.4594203296158,0.944503848068847,3,1196,598,1196,598,1196,1,0,61.5414746145077,14.8655038696862,7.60306484053722,,TRUE,OK,3838.94626906609,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4601,DISTRIBUTION_DAVIS_diesel_seed_4601,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,diesel,refrigerated_factory_set,stochastic,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,17875.8772120141,77.3254223238213,0.941985960150906,25.5619590961893,0.406284840481667,7.09562260618548,42180.7273121148,2,6,23,11,47.4594203296158,0.944503848068847,3,1716,286,1716,286,1716,1,0,61.5414746145077,14.8655038696862,7.60306484053722,,TRUE,OK,4326.20715800971,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4602,DISTRIBUTION_DAVIS_diesel_seed_4602,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,diesel,dry_factory_set,stochastic,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,26444.8787484683,58.2519960785631,0.952012535678884,17.2708366894539,0.472130298325712,6.60651416894446,44223.8400900932,2,4,22,11,44.8973224763629,0.932225574581033,2,1144,572,1144,572,1144,1,0,62.9609086712585,20.2355170164808,11.467883220236,,TRUE,OK,4021.03104688656,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4602,DISTRIBUTION_DAVIS_diesel_seed_4602,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,diesel,refrigerated_factory_set,stochastic,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,26444.8787484683,58.2519960785631,0.952012535678884,17.2708366894539,0.472130298325712,6.60651416894446,44223.8400900932,2,4,22,11,44.8973224763629,0.932225574581033,2,1144,286,1144,286,1144,1,0,62.9609086712585,20.2355170164808,11.467883220236,,TRUE,OK,4436.07225065688,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4603,DISTRIBUTION_DAVIS_diesel_seed_4603,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,diesel,dry_factory_set,stochastic,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,21210.3659714794,97.8288431502811,1.00527829697012,10.7533109867713,0.456260472904356,6.45313868060096,43441.1062667322,2,5,24,22,38.2714654171095,0.944826089251158,1,1248,624,1248,624,1248,1,0,45.9935759313562,14.3676982057325,5.51400224524033,,TRUE,OK,4083.73821809774,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4603,DISTRIBUTION_DAVIS_diesel_seed_4603,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,diesel,refrigerated_factory_set,stochastic,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,21210.3659714794,97.8288431502811,1.00527829697012,10.7533109867713,0.456260472904356,6.45313868060096,43441.1062667322,2,5,24,22,38.2714654171095,0.944826089251158,1,2860,572,2860,572,2860,1,0,45.9935759313562,14.3676982057325,5.51400224524033,,TRUE,OK,5942.22497669434,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4604,DISTRIBUTION_DAVIS_diesel_seed_4604,distribution_davis_prod_diesel_chunk_3,DISTRIBUTION_DAVIS,diesel,dry_factory_set,stochastic,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,16436.3133211351,65.3183870022137,1.00419944597095,9.23194614862904,0.427486937135632,6.65980824984422,40234.8363374441,2,4,24,11,42.7672756004276,0.941392410571027,2,1248,624,1248,624,1248,1,0,26.3382925238974,11.9179071828765,11.3971827707049,,TRUE,OK,3999.90177460227,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4604,DISTRIBUTION_DAVIS_diesel_seed_4604,distribution_davis_prod_diesel_chunk_3,DISTRIBUTION_DAVIS,diesel,refrigerated_factory_set,stochastic,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,16436.3133211351,65.3183870022137,1.00419944597095,9.23194614862904,0.427486937135632,6.65980824984422,40234.8363374441,2,4,24,11,42.7672756004276,0.941392410571027,2,1144,286,1144,286,1144,1,0,26.3382925238974,11.9179071828765,11.3971827707049,,TRUE,OK,4436.26348093814,outputs/distribution/local_chunked_run/phase2/diesel/route_sim_runs.csv,0,0
