scenario,powertrain,traffic_mode,mean,p05,p50,p95,n_runs,n_failed
DISTRIBUTION_DAVIS,bev,stochastic,1812.41705184741,1059.63353239681,1780.50166203948,2687.14221943862,40,0
DISTRIBUTION_DAVIS,diesel,stochastic,4168.45343536893,3764.07144456327,4144.93355045182,4510.41140622622,40,0
