pair_dir,runs_rows,summaries_rows,origin_count,pair_id_count,powertrain_nonempty,facility_id_nonempty,retail_id_nonempty,status,issues
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1302_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1302_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1303_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1303_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1304_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1304_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1305_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1305_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1306_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_bev/pair_ANALYSIS_CORE_bev_seed_1306_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
