"origin_id","dest_id","tons","ton_miles","distance_miles","commodity_group","scenario_id"
"209","311",4157.635047,1199.173185,156.484068603966,"food_sctg_01_08","CENTRALIZED"
"065","069",7714.932217,1195.796393,75,"food_sctg_01_08","CENTRALIZED"
"300","300",5449.585922,1183.327062,125.982394236301,"food_sctg_01_08","CENTRALIZED"
"209","202",6300.972588,1153.396615,75,"food_sctg_01_08","CENTRALIZED"
"171","223",1221.791473,1150.029111,625,"food_sctg_01_08","CENTRALIZED"
"350","350",7659.335643,1145.157576,72.24053125687,"food_sctg_01_08","CENTRALIZED"
"411","539",4160.956066,1134.172635,155.21129139699,"food_sctg_01_08","CENTRALIZED"
"559","061",545.199046,1099.540394,1750,"food_sctg_01_08","CENTRALIZED"
"061","171",539.805206,1089.981855,1750,"food_sctg_01_08","CENTRALIZED"
"182","189",9988.578692,1084.438563,74.623006238814,"food_sctg_01_08","CENTRALIZED"
"061","064",2657.227443,1056.232653,175,"food_sctg_01_08","CENTRALIZED"
"279","190",4038.999444,1051.741365,124.836832460827,"food_sctg_01_08","CENTRALIZED"
"539","531",5066.075406,1040.875721,75,"food_sctg_01_08","CENTRALIZED"
"489","061",828.437745,1031.994068,875,"food_sctg_01_08","CENTRALIZED"
"261","269",5192.383043,1026.931896,75,"food_sctg_01_08","CENTRALIZED"
"064","061",2641.819878,1024.95786,175,"food_sctg_01_08","CENTRALIZED"
"559","551",7999.388808,1017.136241,75,"food_sctg_01_08","CENTRALIZED"
"539","061",850.699419,1012.287067,875,"food_sctg_01_08","CENTRALIZED"
"171","061",490.442462,993.850583,1750,"food_sctg_01_08","CENTRALIZED"
"069","064",6119.078628,985.165941,75,"food_sctg_01_08","CENTRALIZED"
"409","489",2758.039474,954.100629,166.898855614421,"food_sctg_01_08","CENTRALIZED"
"369","369",9133.349591,949.323059,65.7501101147766,"food_sctg_01_08","CENTRALIZED"
"190","319",3308.059948,949.270694,118.013521742865,"food_sctg_01_08","CENTRALIZED"
"471","061",523.483,946.262085,1250,"food_sctg_01_08","CENTRALIZED"
"489","171",776.621751,922.084968,814.865904554095,"food_sctg_01_08","CENTRALIZED"
"172","179",6072.224477,916.103515,75,"food_sctg_01_08","CENTRALIZED"
"262","269",5773.383157,914.996629,75,"food_sctg_01_08","CENTRALIZED"
"222","223",4448.484497,904.861343,75,"food_sctg_01_08","CENTRALIZED"
"190","061",525.179179,897.167299,1250,"food_sctg_01_08","CENTRALIZED"
"319","081",2123.370042,876.775089,175,"food_sctg_01_08","CENTRALIZED"
"409","409",5552.768768,866.82951,75,"food_sctg_01_08","CENTRALIZED"
"201","209",3753.771129,863.503818,75,"food_sctg_01_08","CENTRALIZED"
"487","061",622.625148,863.4036,875,"food_sctg_01_08","CENTRALIZED"
"061","423",307.511035,850.185968,1750,"food_sctg_01_08","CENTRALIZED"
"380","279",2687.740029,848.668776,149.594950641337,"food_sctg_01_08","CENTRALIZED"
"069","321",2086.144,837.514423,175,"food_sctg_01_08","CENTRALIZED"
"489","486",3064.213565,829.656885,121.753576949197,"food_sctg_01_08","CENTRALIZED"
"393","399",6758.896253,828.68651,75,"food_sctg_01_08","CENTRALIZED"
"190","311",4663.253224,824.701827,75,"food_sctg_01_08","CENTRALIZED"
"479","139",2290.074187,815.388419,161.428052778187,"food_sctg_01_08","CENTRALIZED"
"061","069",3109.816792,805.115118,112.437925957408,"food_sctg_01_08","CENTRALIZED"
"311","190",4131.924814,797.293255,75,"food_sctg_01_08","CENTRALIZED"
"249","519",3257.465883,795.794247,145.347238629851,"food_sctg_01_08","CENTRALIZED"
"319","089",1643.395587,792.62269,325.456594234484,"food_sctg_01_08","CENTRALIZED"
"020","020",3478.68332,780.171012,74.9734740585699,"food_sctg_01_08","CENTRALIZED"
"551","559",5207.004278,777.140402,75,"food_sctg_01_08","CENTRALIZED"
"069","065",6454.654948,772.312461,74.135769991589,"food_sctg_01_08","CENTRALIZED"
"489","350",2453.21166,764.548926,189.398843595909,"food_sctg_01_08","CENTRALIZED"
"189","183",4985.206161,759.499268,75,"food_sctg_01_08","CENTRALIZED"
"061","041",2062.935933,756.811812,175,"food_sctg_01_08","CENTRALIZED"
"069","062",3794.167493,742.344651,76.2942787868643,"food_sctg_01_08","CENTRALIZED"
"064","064",15614.406528,736.126246,25,"food_sctg_01_08","CENTRALIZED"
"399","393",5526.994923,727.177703,75,"food_sctg_01_08","CENTRALIZED"
"139","131",4751.576092,722.74577,75,"food_sctg_01_08","CENTRALIZED"
"171","171",21828.4939,721.48981,25,"food_sctg_01_08","CENTRALIZED"
"069","341",247.079261,716.422987,1750,"food_sctg_01_08","CENTRALIZED"
"160","559",484.632705,714.217673,970.419932503317,"food_sctg_01_08","CENTRALIZED"
"399","190",1315.198919,707.165093,375,"food_sctg_01_08","CENTRALIZED"
"069","171",335.569814,701.647602,1750,"food_sctg_01_08","CENTRALIZED"
"179","061",355.385896,691.356051,1250,"food_sctg_01_08","CENTRALIZED"
"061","363",238.221221,676.428385,1750,"food_sctg_01_08","CENTRALIZED"
"459","459",7716.68002,671.912639,25,"food_sctg_01_08","CENTRALIZED"
"069","559",320.106608,667.735506,1750,"food_sctg_01_08","CENTRALIZED"
"341","061",231.42465,659.699534,1750,"food_sctg_01_08","CENTRALIZED"
"280","019",2620.815915,658.136385,130.645343064852,"food_sctg_01_08","CENTRALIZED"
"299","292",3567.997362,657.820523,75,"food_sctg_01_08","CENTRALIZED"
"061","531",572.354692,656.229229,875,"food_sctg_01_08","CENTRALIZED"
"364","369",4941.693547,650.115676,75,"food_sctg_01_08","CENTRALIZED"
