"facility_id","retail_id","distance_km","duration_min","provider","profile","timestamp_utc","osrm_docker_image","osrm_version","osm_snapshot_sha256","google_routes_api_identifier","travel_mode","routing_preference","request_fingerprint_sha256","status"
"FACILITY_REFRIG_ENNIS","PETCO_DAVIS_COVELL",2861.203,1575.38333333333,"google_routes_cache","driving","2026-03-14T22:07:29Z",NA,NA,NA,"https://routes.googleapis.com/directions/v2:computeRoutes","DRIVE","TRAFFIC_UNAWARE","252941e56901f672c5675a73914af2823b7c07d2e6c05f52b8efbc013e2be8ce","OK"
"FACILITY_DRY_TOPEKA","PETCO_DAVIS_COVELL",2755.705,1485.08333333333,"google_routes_cache","driving","2026-03-14T22:07:29Z",NA,NA,NA,"https://routes.googleapis.com/directions/v2:computeRoutes","DRIVE","TRAFFIC_UNAWARE","596c043e658f3d65c05cfe636453ab8a4666f951739fd9f3458ff59ff131ffc6","OK"
