origin_id,dest_id,road_distance_miles,road_duration_minutes,road_duration_minutes_static,status,error,generated_at_utc,api_provider,routing_preference
363,061,2848.215173,2479.683333,2494.483333,OK,"",2026-03-15T08:27:19Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,189,191.272345,191.766667,196.283333,OK,"",2026-03-15T08:27:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
209,311,261.983143,266.233333,269.833333,OK,"",2026-03-15T08:27:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
065,069,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
209,202,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:22Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
171,223,792.353903,745.416667,755.433333,OK,"",2026-03-15T08:27:22Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
411,539,374.604808,411.883333,410.833333,OK,"",2026-03-15T08:27:23Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
559,061,2171.174093,1907.500000,1892.933333,OK,"",2026-03-15T08:27:23Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,171,2072.645749,1783.100000,1797.966667,OK,"",2026-03-15T08:27:24Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
182,189,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:25Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,064,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:25Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
279,190,363.096392,332.200000,331.216667,OK,"",2026-03-15T08:27:26Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
539,531,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:26Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
489,061,1522.151883,1320.166667,1339.766667,OK,"",2026-03-15T08:27:27Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
