"scenario_id","variant_id","powertrain","trailer_type","refrigeration_mode","metric","mean","var","p05","p50","p95","source_path"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",4.54380134173957,4.96515777284398,NA,NA,NA,"outputs/check_real/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",1.63909306894753,0.713316080246908,NA,NA,NA,"outputs/check_real/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","ratio",1.56675231188832,0.00937744114305739,NA,NA,NA,"outputs/check_real/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_dry",2.8949261955756,2.06869717661146,NA,NA,NA,"outputs/check_real/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_reefer",4.79963655639858,5.7010070628645,NA,NA,NA,"outputs/check_real/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","diff_gco2",1.90471036082299,0.968715476044107,NA,NA,NA,"outputs/check_real/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","ratio",1.66046620487206,0.0107446381749474,NA,NA,NA,"outputs/check_real/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_dry",4.99405137278653,5.96038034280586,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_reefer",7.81631366085051,14.5347718677384,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","diff_gco2",2.82226228806399,2.06305238050388,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","ratio",1.56905321271596,0.00977594921545588,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_dry",4.96748375126931,6.01384148758152,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_reefer",7.76824801605718,14.7752212814536,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","diff_gco2",2.80076426478787,2.12185220250826,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","ratio",1.56643518913822,0.00969412156741045,NA,NA,NA,"outputs/check_real/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_dry",2.42089049483541,1.35637394640933,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",3.7924245141437,3.3958306561085,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",1.37153401930829,0.503177855154803,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","ratio",1.56919103313774,0.0105401339188327,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_dry",2.40961638557008,1.46383347203324,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_reefer",3.94981654055354,3.8107328328878,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","diff_gco2",1.54020015498346,0.594138612536345,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","ratio",1.64601185557397,0.0109696682902038,NA,NA,NA,"outputs/check/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_dry",5.10351552682482,6.06910767977399,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_reefer",7.93358637253486,14.8770669395859,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","diff_gco2",2.83007084571003,2.13894394292524,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","ratio",1.55688704710504,0.0101013210230838,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_dry",5.0358431953538,5.27545657276631,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","gco2_reefer",8.21189998490156,13.9744100453998,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","diff_gco2",3.17605678954776,2.24968646293773,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_REEFER","diesel","refrigerated","refrigerated","ratio",1.63434163905189,0.010055410164004,NA,NA,NA,"outputs/check/CENTRALIZED_DIESEL_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_dry",4.94294270110837,6.12847455338119,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",8.05106890557379,16.3027749820529,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",3.10812620446542,2.63649972655728,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","ratio",1.63078081358496,0.0103699124994749,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_dry",5.00623470818527,6.36985858059956,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","gco2_reefer",8.1274357221478,16.7259165350728,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","diff_gco2",3.12120101396253,2.65745447049755,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_REEFER","bev","refrigerated","refrigerated","ratio",1.6268349570408,0.0106532078241139,NA,NA,NA,"outputs/local/CENTRALIZED_BEV_REEFER/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_dry",4.99576315534518,5.84798018451356,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","gco2_reefer",8.15284065028828,15.5102554376134,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_DIESEL_DRY","diesel","dry_van","none","diff_gco2",3.15707749494309,2.51210101462331,NA,NA,NA,"outputs/local/CENTRALIZED_DIESEL_DRY/results_summary.csv"
