run_id,pair_id,scenario_id,scenario,powertrain,origin_network,traffic_mode,facility_id,retail_id,trip_leg,units_per_case_policy,case_geometry_policy,load_assignment_policy,artifact_mode,payload_lb,ambient_f,traffic_multiplier,queue_delay_minutes,grid_kg_per_kwh,mpg,payload_max_lb_draw,units_per_case_draw_dry,units_per_case_draw_refrigerated,cases_per_pallet_draw_dry,cases_per_pallet_draw_refrigerated,pallet_tare_lb_draw,packing_efficiency_draw_refrigerated,pack_pattern_index_refrigerated,units_per_truck_capacity,cases_per_truck_capacity,assigned_units,assigned_cases,actual_units_loaded,load_fraction,unused_capacity_units,load_unload_min,refuel_stop_min,connector_overhead_min,bundle_dir,status,co2_kg_total,source_runs_csv,diesel_gal_total,energy_kwh_total
DEMO_FULL_bev_stochastic_1502,DEMO_FULL_bev_seed_1502,demo_full_artifact_bev,DEMO_FULL,bev,refrigerated_factory_set,stochastic,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,full,19908.4449673981,59.4061504942176,1.0201313321621,15.1156912575178,0.518012322987128,6.91845913455323,40342.2350442737,2,6,24,10,38.1130822832631,0.855674232905093,2,1560,260,1560,260,1560,1,0,50.0711063729367,13.7196078058686,9.19469965953165,outputs/run_bundle/canonical/demo_full_artifact/demo_full_artifact_bev/DEMO_FULL_bev_stochastic_1502,PLAN_SOC_VIOLATION,158.399279631417,outputs/run_bundle/canonical/demo_full_artifact/demo_full_artifact_bev/route_sim_runs.csv,0,0
DEMO_FULL_diesel_stochastic_1501,DEMO_FULL_diesel_seed_1501,demo_full_artifact_diesel,DEMO_FULL,diesel,dry_factory_set,stochastic,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,full,27158.7399648089,70.2124036149031,1.04420385330603,9.02207472460575,0.357665017837505,7.41291110552903,38636.1173258719,2,4,23,22,38.428681025854,0.939123149452558,1,1196,598,1196,598,1196,1,0,63.2981834928917,16.8902354737077,8.37609824783482,outputs/run_bundle/canonical/demo_full_artifact/demo_full_artifact_diesel/DEMO_FULL_diesel_stochastic_1501,OK,894.464586248271,outputs/run_bundle/canonical/demo_full_artifact/demo_full_artifact_diesel/route_sim_runs.csv,0,0
