scenario,powertrain,traffic_mode,mean,p05,p50,p95,n_runs,n_failed
DEMO_FULL,bev,stochastic,158.399279631417,158.399279631417,158.399279631417,158.399279631417,1,1
DEMO_FULL,diesel,stochastic,894.464586248271,894.464586248271,894.464586248271,894.464586248271,1,0
