replicate_id,pair_id,scenario_name,powertrain,origin_name,destination_name,reefer_on,shared_seed,traffic_state_id,departure_state_id,ambient_state_id,route_id,base_route_distance_miles,trip_distance_miles,trip_duration_hours,congestion_delay_hours,refrigeration_runtime_hours,diesel_gallons,traction_electricity_kwh,charging_events,charging_energy_kwh,charging_time_hours,total_trip_co2_kg,payload_kg_delivered,energy_density_kcal_per_kg,total_kcal_delivered,co2_per_1000kcal
12,DISTRIBUTION_DAVIS_diesel_seed_4611,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4611,stochastic_tm0.9828_qd16.40,seed_4611,ambient_63.09,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,37.8573990911004,0.27339224152084,37.8573990911005,309.833413326645,0,0,0,0,5919.22198669983,2122.8122916,2211.79389677086,4695223.27055104,1.26069020483559
13,DISTRIBUTION_DAVIS_bev_seed_4612,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4612,stochastic_tm1.0042_qd10.82,seed_4612,ambient_72.43,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,88.265941066105,0.738399936517907,0,0,3912.19631220971,15,3912.19631220971,53.6069497055085,1264.03208666994,16274.8942356,3343.14724567146,54409367.8373405,0.0232318833486327
13,DISTRIBUTION_DAVIS_diesel_seed_4612,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4612,stochastic_tm1.0042_qd10.82,seed_4612,ambient_72.43,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,34.9341805673004,0.180302268159914,0,233.77144368752,0,0,0,0,3765.66742250323,16274.8942356,3343.14724567146,54409367.8373405,0.0692099094729584
13,DISTRIBUTION_DAVIS_bev_seed_4612,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4612,stochastic_tm1.0042_qd10.82,seed_4612,ambient_72.43,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,147.864193622349,0.180302268159914,147.864193622349,0,4083.42805176077,17,4526.4080778868,112.27074820694,1462.48413709568,2653.5153645,2026.45847828525,5377238.70765121,0.271976792663998
13,DISTRIBUTION_DAVIS_diesel_seed_4612,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4612,stochastic_tm1.0042_qd10.82,seed_4612,ambient_72.43,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,36.9120694782322,0.738399936517907,36.9120694782322,277.726660158788,0,0,0,0,4211.88494534493,2653.5153645,2026.45847828525,5377238.70765121,0.78328026229371
14,DISTRIBUTION_DAVIS_bev_seed_4613,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4613,stochastic_tm0.9343_qd27.28,seed_4613,ambient_75.21,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,76.7172642572206,0.808947593453155,0,0,3508.123403775,15,3508.123403775,39.7087486532054,1751.79916169553,16791.9895374,3288.52706958494,55220912.1459269,0.0317234738366187
14,DISTRIBUTION_DAVIS_diesel_seed_4613,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4613,stochastic_tm0.9343_qd27.28,seed_4613,ambient_75.21,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,38.3303763381092,0.977587397161511,0,228.262753993033,0,0,0,0,3706.41012237515,16791.9895374,3288.52706958494,55220912.1459269,0.0671196830755092
14,DISTRIBUTION_DAVIS_bev_seed_4613,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4613,stochastic_tm0.9343_qd27.28,seed_4613,ambient_75.21,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,133.25336275831,0.727932862503743,133.253362758309,0,3661.66939816014,16,4174.90210962623,94.7215530740313,2084.75848025591,4457.90581236,1685.66814492819,7514549.82098547,0.27742959058358
14,DISTRIBUTION_DAVIS_diesel_seed_4613,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4613,stochastic_tm0.9343_qd27.28,seed_4613,ambient_75.21,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,39.35841463706,0.454682137955507,39.35841463706,275.206863154626,0,0,0,0,4185.02537508104,4457.90581236,1685.66814492819,7514549.82098547,0.556922966082912
15,DISTRIBUTION_DAVIS_bev_seed_4614,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4614,stochastic_tm1.0694_qd10.68,seed_4614,ambient_44.63,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,124.173997903167,0.17807989177008,0,0,4360.4306119169,16,4360.4306119169,92.1513562406876,1469.58333358904,16274.8942356,3264.76801461142,53133754.1415707,0.0276581874804752
15,DISTRIBUTION_DAVIS_diesel_seed_4614,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4614,stochastic_tm1.0694_qd10.68,seed_4614,ambient_44.63,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,32.8640486271572,0.17807989177008,0,250.790008806603,0,0,0,0,3936.30534241398,16274.8942356,3264.76801461142,53133754.1415707,0.0740829517132556
15,DISTRIBUTION_DAVIS_bev_seed_4614,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4614,stochastic_tm1.0694_qd10.68,seed_4614,ambient_44.63,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,139.134861084734,0.17807989177008,139.134861084734,0,4551.28098323897,18,4690.50823969816,105.710630084886,1580.82844301753,3184.2184374,1805.13180474205,5747933.97459676,0.275025504816873
15,DISTRIBUTION_DAVIS_diesel_seed_4614,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4614,stochastic_tm1.0694_qd10.68,seed_4614,ambient_44.63,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,34.4168490668646,0.512450190325047,34.4168490668646,281.196307769503,0,0,0,0,4246.09932416254,3184.2184374,1805.13180474205,5747933.97459676,0.738717484043546
16,DISTRIBUTION_DAVIS_bev_seed_4615,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4615,stochastic_tm0.9523_qd10.03,seed_4615,ambient_94.23,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,84.8561692330415,0.809373510186919,0,0,3822.32618550532,15,3822.32618550532,48.2536429172495,1784.06157555847,16274.8942356,3222.41966100992,52444539.1656545,0.0340180618219034
16,DISTRIBUTION_DAVIS_diesel_seed_4615,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4615,stochastic_tm0.9523_qd10.03,seed_4615,ambient_94.23,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,37.1186337865069,0.568096440128771,0,241.656076325661,0,0,0,0,3842.56698527491,16274.8942356,3222.41966100992,52444539.1656545,0.0732691534029414
16,DISTRIBUTION_DAVIS_bev_seed_4615,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4615,stochastic_tm0.9523_qd10.03,seed_4615,ambient_94.23,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,149.95410590973,2.19569040285473,149.954105909731,0,3989.62442660659,18,4659.75648662357,110.39132721367,2174.9301592233,2918.86690095,2241.95470167055,6543967.3721354,0.332356510285226
16,DISTRIBUTION_DAVIS_diesel_seed_4615,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4615,stochastic_tm0.9523_qd10.03,seed_4615,ambient_94.23,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,38.7439643853399,0.686899241455194,38.74396438534,289.618578339947,0,0,0,0,4331.50812811277,2918.86690095,2241.95470167055,6543967.3721354,0.661908576524478
17,DISTRIBUTION_DAVIS_bev_seed_4616,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4616,stochastic_tm0.9626_qd10.78,seed_4616,ambient_60.29,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,74.4002393626627,0.521080182320806,0,0,3579.08606022395,15,3579.08606022395,38.4850986175222,1992.74152554405,16982.4983328,2937.27207555281,49882218.1260556,0.0399489357211073
17,DISTRIBUTION_DAVIS_diesel_seed_4616,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4616,stochastic_tm0.9626_qd10.78,seed_4616,ambient_60.29,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,36.2941057554305,0.179690964198795,0,236.305623827437,0,0,0,0,3788.5561959677,16982.4983328,2937.27207555281,49882218.1260556,0.0759500346675397
17,DISTRIBUTION_DAVIS_bev_seed_4616,refrigerated_bev,bev,Texas Plant,"Davis, CA Petco",TRUE,4616,stochastic_tm0.9626_qd10.78,seed_4616,ambient_60.29,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,127.432720589757,0.496008516020632,127.432720589757,0,3735.7379977002,16,4056.96804815529,89.9856347177363,2258.81371985187,3502.64028114,2003.27849545196,7016763.95251156,0.321916731863747
17,DISTRIBUTION_DAVIS_diesel_seed_4616,refrigerated_diesel,diesel,Texas Plant,"Davis, CA Petco",TRUE,4616,stochastic_tm0.9626_qd10.78,seed_4616,ambient_60.29,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,1787.2456106339,1787.16634525737,38.6368003238949,0.807091185628732,38.6368003238949,276.714283269495,0,0,0,0,4199.8536078705,3502.64028114,2003.27849545196,7016763.95251156,0.598545659551112
18,DISTRIBUTION_DAVIS_bev_seed_4617,dry_bev,bev,Kansas Plant,"Davis, CA Petco",FALSE,4617,stochastic_tm0.9328_qd33.89,seed_4617,ambient_46.93,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,106.816334089999,2.16608211195146,0,0,4007.22253399684,15,4007.22253399684,68.5040364695145,1917.04113104478,15567.2901384,3132.89470293174,48770680.8135949,0.0393072456456339
18,DISTRIBUTION_DAVIS_diesel_seed_4617,dry_diesel,diesel,Kansas Plant,"Davis, CA Petco",FALSE,4617,stochastic_tm0.9328_qd33.89,seed_4617,ambient_46.93,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,1712.31259444842,1712.2245075939,38.1510532262463,0.874760719330951,0,243.302555540452,0,0,0,0,3859.2617366138,15567.2901384,3132.89470293174,48770680.8135949,0.0791307743142685
