product_type,product_name,kcal_per_kg_label,protein_g_per_kg_label,source_file
dry,"Hill's Science Diet Adult Large Breed Chicken & Barley Recipe",3675,238,Product_Information.pdf
refrigerated,"Freshpet Vital Large Breed Chicken, Beef, Egg & Salmon",2375,200,Product_Information.pdf
