product_type,has_charging,n,mean_co2_kg,mean_co2_per_1000kcal,mean_trip_h,mean_energy_kwh,mean_distance,fu_method
dry,TRUE,11554,1738.32,0.028354,85.92,4025.5,1743,audit_uniform
refrigerated,TRUE,200,1872.71,0.046276,89.55,4435.1,1743,audit_uniform
