system,metric_basis,propulsion_component,tru_component,total
dry_factory_set,diesel gal / 1000 kcal,0.00470106717554534,0,0.00470106717554534
refrigerated_factory_set,diesel gal / 1000 kcal,0.0386421228251913,0.00465418466738786,0.0432963074925792
