product_type,network_label,powertrain,mean,median,p05,p25,p75,p95,n,label,col,x
dry,Centralized,bev,0.00413267383191543,0.00376233608468668,0.00201560077209958,0.00291304807421087,0.00494123885356591,0.00748375501281117,1105,"Dry
Centralized
Bev",#1b7837,1
dry,Centralized,diesel,0.0282635647463498,0.0258949981521918,0.0166000688040201,0.0210140324567003,0.0328506990720263,0.0483003371537305,1726,"Dry
Centralized
Diesel",#2166ac,2
dry,Regionalized,bev,0.0041419263334671,0.00378227650677469,0.00202119844277123,0.00292247095675254,0.0049346246876837,0.00750438521954774,1105,"Dry
Regionalized
Bev",#1b7837,3
dry,Regionalized,diesel,0.0283128546206717,0.0258663025394072,0.0165475535944986,0.0210373281002804,0.0329086307272312,0.0489613883935106,1726,"Dry
Regionalized
Diesel",#2166ac,4
refrigerated,Centralized,bev,0.00621682819989784,0.00563026093127587,0.00298257990284855,0.00428001449650974,0.0075096616323955,0.0114841826459295,21155,"Refrigerated
Centralized
Bev",#1b7837,5
refrigerated,Centralized,diesel,0.0480295672569156,0.0441881859169545,0.0274340294731491,0.0355190618384417,0.0561061343814605,0.0828112430682748,21634,"Refrigerated
Centralized
Diesel",#2166ac,6
refrigerated,Regionalized,bev,0.00625332235255104,0.00567409349325097,0.0029980993392376,0.0043175348864668,0.00755021175232399,0.0114754709376856,21155,"Refrigerated
Regionalized
Bev",#1b7837,7
refrigerated,Regionalized,diesel,0.0480850995572172,0.0442204046514151,0.0274220426070413,0.035570512900756,0.0561303021617914,0.0829161535769175,21634,"Refrigerated
Regionalized
Diesel",#2166ac,8
