var,r,ar,sign
distance_miles,0.846519709696679,0.846519709696679,positive
payload_lb,-0.352941146146777,0.352941146146777,negative
traffic_multiplier,0.0501985032252958,0.0501985032252958,positive
mpg,-0.0495706781787456,0.0495706781787456,negative
grid_kg_per_kwh,0.0288383372864077,0.0288383372864077,positive
ambient_f,0.0154144581870225,0.0154144581870225,positive
packing_efficiency_draw,0.00492896678103653,0.00492896678103653,positive
